artist,geometry,title
artist,geometry,title
"Acconci, Saitowitz and Soloman","{""type"":""Point"",""coordinates"":[-122.4120591,37.8085303]}",Promenade Ribbon
"Acconci, Vito","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Two Wings for Wall and Person
"Acconci, Vito","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Light Beams for the Sky of Transfer Cooridor
"Adams, Gloria Cozzo","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Cityscape #33
"Adams, Mark","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Garden Outside the Gate (The Garden Tapestries)
"Adams, Mark","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Garden in San Andreas Valley (The Garden Tapestries)
"Adams, Mark","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Pond in Golden Gate Park (The Garden Tapestries)
"Aitken, Robert Ingersoll","{""type"":""Point"",""coordinates"":[-122.4075,37.7880556]}","The Dewey Monument (Admiral George Dewey, 1837-1917)"
"Aitken, Robert Ingersoll","{""type"":""Point"",""coordinates"":[-122.4666711,37.7703537]}",Spandrels on Spreckles Temple of Music
"Aitken, Robert Ingersoll","{""type"":""Point"",""coordinates"":[-122.454557,37.771665]}",William McKinley
"Aitken, Robert Ingersoll","{""type"":""Point"",""coordinates"":[-122.4184094,37.7793133]}",Hall McAllister (1829-1888)
"Alavi, Seyed","{""type"":""Point"",""coordinates"":[-122.477977,37.78327]}",Speaking Stones
"Albro, Maxine","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",California
"Alicia/Montoya, Juana/Emmanuel","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Sanctuario
"Anargyros, Spero","{""type"":""Point"",""coordinates"":[-122.4184094,37.7793133]}",George Moscone
"Anderson, Lois","{""type"":""Point"",""coordinates"":[-122.4390499,37.7474162]}",Outdoor Wall Mosaic
Anonymous,"{""type"":""Point"",""coordinates"":[-122.4666711,37.7703537]}",Ludwig Van Beethoven (1770-1827)
Anonymous,"{""type"":""Point"",""coordinates"":[-122.4525624,37.7069424]}",Kanrin Maru Monument
Anonymous,"{""type"":""Point"",""coordinates"":[-122.4034248,37.7876664]}",Lotta's Fountain
Anonymous,"{""type"":""Point"",""coordinates"":[-122.4122163,37.792033]}",Fountain of the Tortoises
Anonymous,"{""type"":""Point"",""coordinates"":[-122.4701557,37.7701722]}",Untitled (Stone Lantern)
Anonymous,"{""type"":""Point"",""coordinates"":[-122.4701557,37.7701722]}",Amazarasti-no Hotoke (the Buddha that sits throughout the sunny and rainy weathe
Anonymous,"{""type"":""Point"",""coordinates"":[-122.4101513,37.8003423]}",Benjamin Franklin (1706-1790)
"Arcega, Michael","{""type"":""Point"",""coordinates"":[-122.421886,37.7649169]}",Mission Post
"Arnautoff, Victor","{""type"":""Point"",""coordinates"":[-122.491083,37.7774299]}",The Life of George Washington
"Arnautoff, Victor Mikhail","{""type"":""Point"",""coordinates"":[-122.491083,37.7774299]}",Edison (1847-1931) Washington (1732-1799) and Shakespeare (1564-1616)
"Arnautoff, Victor Mikhail","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",City Life
"Arneson, Robert","{""type"":""Point"",""coordinates"":[-122.3945938,37.7948985]}",Yin Yang
"Arnold, David","{""type"":""Point"",""coordinates"":[-122.4059739,37.7323428]}",Untitled
"Asawa, Ruth","{""type"":""Point"",""coordinates"":[-122.412595,37.783933]}","Redding School, Self-Portrait"
"Asawa, Ruth","{""type"":""Point"",""coordinates"":[-122.4312691,37.7853921]}",Origami Fountains
"Asawa, Ruth","{""type"":""Point"",""coordinates"":[-122.4701557,37.7701722]}",Hagiwara Family Plaque
"Aycock, Alice","{""type"":""Point"",""coordinates"":[-122.415783,37.778864]}",Cyclone Fragment
"Aycock, Alice","{""type"":""Point"",""coordinates"":[-122.415783,37.778864]}",Functional and Fantasy Stair
"Barnes, Carroll","{""type"":""Point"",""coordinates"":[-122.44485,37.7229198]}",Transverse and Column
"Barr, Aileen","{""type"":""Point"",""coordinates"":[-122.4650348,37.7419071]}",Secret Garden
"Barr, Aileen","{""type"":""Point"",""coordinates"":[-122.4650348,37.7419071]}",Secret Garden
"Barr, Aileen","{""type"":""Point"",""coordinates"":[-122.4650348,37.7419071]}",Secret Garden
"Barr, Aileen","{""type"":""Point"",""coordinates"":[-122.4650348,37.7419071]}",Secret Garden
"Barr, Roger","{""type"":""Point"",""coordinates"":[-122.411934,37.809079]}",Skygate
"Barth, Anders","{""type"":""Point"",""coordinates"":[-122.5018724,37.7792703]}",Phoenix
"Barth, Anders","{""type"":""Point"",""coordinates"":[-122.4129435,37.7837739]}",First Person Plural
"Bates, Diana Pompelly","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Reflection
"Beasley, Bruce","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",The Hesperides
"Beauchemin, Micheline","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",                                                      
"Bechtle, Robert","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",San Francisco Nova
"Beery, Jonathan","{""type"":""Point"",""coordinates"":[-122.433025,37.80136]}",Leatherback Sea Turtle
"Beery, Jonathan","{""type"":""Point"",""coordinates"":[-122.433025,37.80136]}",The Pink Short-spined Starfish
"Beldner, Ray","{""type"":""Point"",""coordinates"":[-122.510037,37.7732589]}",Playland Revisited
"Berlandina, Jane","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",Home Life
"Berlant, Tony","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Dancing on the Brink of the World
"Bertrand, Raymond","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",Meat Industry
"Biaggi, Suzanne","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Patterns of Time and Place [stone sculpture]
"Blackstone, Amy","{""type"":""Point"",""coordinates"":[-122.420433,37.763376]}",Untitled
"Blackstone, Amy","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}","Earth, Fire, and Water"
"Blake, Nayland W.","{""type"":""Point"",""coordinates"":[-122.415783,37.778864]}",Constellation
"Bongers, Jaap (Jacob)","{""type"":""Point"",""coordinates"":[-122.464215,37.7798186]}",Untitled #2
"Bongers, Jaap (Jacob)","{""type"":""Point"",""coordinates"":[-122.464215,37.7798186]}",Untitled #1
"Bongers, Jaap (Jacob)","{""type"":""Point"",""coordinates"":[-122.4410438,37.7531196]}",Fire
"Bonner, Jonathan","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Bloom
"Bowler, Patti","{""type"":""Point"",""coordinates"":[-122.4154927,37.7967083]}",Dragon Relief
"Boyce, Roger","{""type"":""Point"",""coordinates"":[-122.412999,37.75820100000001]}",Untitled
"Boynton, Raymond","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",Animal Force and Machine Force
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Water: The Net
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Fire: Industrial Fire
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Fire: Primitive Fire
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Air: The Windmill
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Earth: The Fruit Pickers
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Earth: Dancing the Grapes
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Water: The Fountain
"Brangwyn, Frank","{""type"":""Point"",""coordinates"":[-122.420552,37.779649]}",Air: The Hunters
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brothers, Beliz","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Untitled [light boxes and glass panels]
"Brown, Arthur Page","{""type"":""Point"",""coordinates"":[-122.4818391,37.7705254]}",Portals of the Past
"Brown, Joan","{""type"":""Point"",""coordinates"":[-122.421525,37.7780273]}",The Dancing Musicians
"Brown, Joan","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",The Journey #2
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Bear and Cubs
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4051364,37.7921253]}",Sun Yat-Sen
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Rabbit
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Mouse
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Small Fish--Big Fish
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.451725,37.7277894]}",St. Francis of the Guns
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4319047,37.7640543]}",Torso
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4802906,37.7146289]}",Peace
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.423905,37.80637600000001]}",Frog
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Two Sea Lions
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.3778015,37.8252754]}",Horse and Rider (St. Francis on Horseback)
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4792744,37.7238942]}",Head of St.Francis
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Cat
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.423905,37.80637600000001]}",Seal
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4044431,37.7557795]}",Madonna
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Butterfly
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.4233043,37.7665965]}",Cat and Mouse
"Bufano, Beniamino","{""type"":""Point"",""coordinates"":[-122.398337,37.7970899]}",Penguins
"Bullock, George","{""type"":""Point"",""coordinates"":[-122.4671799,37.76887809999999]}",William Shakespeare
"Buster, Kendall","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Topograph
"Butterfield, Deborah","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Pohina
"Carey, Michael","{""type"":""Point"",""coordinates"":[-122.4649463,37.7516878]}",Woman with Birds
"Carnwath, Squeak","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}","Fly, Flight, Fugit"
"Carpenter, James","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Sculptural Light Reflectors
"Carter, Dudley C.","{""type"":""Point"",""coordinates"":[-122.451725,37.7277894]}",Goddess of the Forest
"Catalusci, Robert","{""type"":""Point"",""coordinates"":[-122.393207,37.756677]}",Untitled
"Cervantes, Morales and Poethig","{""type"":""Point"",""coordinates"":[-122.45221,37.7458728]}",Roots and Branches
"Chagoya, Enrique","{""type"":""Point"",""coordinates"":[-122.4596396,37.7243765]}",Authors of Latin American Roots
"Chagoya, Enrique","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Love Letters
"Chamberlain, Ann","{""type"":""Point"",""coordinates"":[-122.4044431,37.7557795]}",Untitled Photographic Images
